best_title	translated
和团队去北极探险，有没有针对这方面的HUTS保险呢	和北极探险团队的小屋保险
最近在安邦长青树中看到什么豁免，这个是什么意思？	最近在引导他们,看看他们的免疫力,这是什么意思?
听说huts可以申请医疗垫付的，什么情况下可以批呢？	听说小屋可以申请医学进步,什么情况下可以批吗?
老婆买了安*长*树，她在网上投保的，以后缴费怎么办	妻子买了安* *树,她网上保险,后付款
去欧*出差，随身的物品比较多，有没有保障这个的保险	出差,去*随身携带的物品,有本保险的保证
端午我们准备要举行赛龙舟，说是要份保险，什么好	端午节我们准备举行赛龙舟,保险,有什么好处
HUTS中有没有适合帆船比赛的保险，我男朋友这周就要开始了	你有什么好保险小屋的帆船比赛,本周将启动我的男朋友吗
计划端午节和男朋友自驾去九*山，买保险三天要多少钱？	计划去九个端午节和男朋友开车*山,要花多少钱购买保险为三天。
小*买了份哆啦A保，说是没有纸质保单，怎么回事	小*买了哆啦A酒保说,没有纸政策,怎么回事
huts保险中有没有关于赛事的？怎么好多保险户外赛事都不保障	小屋的事件保险吗?
这个周末儿子有场拳击比赛，很担心安全，什么保险好	儿子这个周末有一场拳击比赛,很担心安全,什么样的保险
这个周末天气不错，看着心情舒坦，准备和朋友户外拓展，什么保险好	这个周末天气不错,看着心情舒适,户外发展,准备和朋友什么样的保险
我女朋友比较马虎，她这次一个人去美*玩，想给买份保险	我的女朋友是草率的,她玩这个去美容,想买保险
为什么要选择职业，我儿子还在上中学，怎么填安邦长青树的职业？	你为什么要选择一种职业,我的儿子还在高中的时候,如何填补它与常绿事业?
我和老婆单位都买了社保，现在她又要买什么哆啦A保，有必要吗	我和我的妻子通常买了社保,现在她想买朵拉,这是必要的
我空闲时间不多，老婆带着儿子两个人去周边玩一天，有什么保险呢?	我没有太多的时间,两人的妻子带着儿子玩一天左右,保险是什么?
哆啦A保对年龄有没有限制，10岁的小女孩可以买吗	哆啦A调酒师有年龄限制,10岁的女孩可以买
老婆已经买了其他的重疾险，还要投康惠保，能行吗	妻子买了其他严重疾病的风险,但康汇宝,会做的
老公喜欢抽烟，但是听说这样就投不了安*长青树了，是真的吗，什么意思？	丈夫喜欢抽烟,但是我听说你不能安*常绿,是真的,你是什么意思?
当前有没有可以针对第一现场救助的旅游保险呢	目前第一现场救援的旅行保险
是不是我在犹豫期退保了安邦长青树，就不给我保障了？	不是我的贷款业务,他们的犹豫没有给我安全吗?
康惠保在北*买的，现在人在山*，出险了是否可以理赔？	康汇宝买北*,*山,现在人能补偿索赔吗?
重疾险的缴费期限有什么用处，康惠保的缴费期限好不好	好是什么大病保险付款期限,康汇宝付款方式
谁知道,在海外务工,有什么保险可以保障?	在海外工作,谁知道呢,保险可以保证是什么?
去年下半年大叔买了哆啦A保，现在原位癌住院了，能不能理赔？	去年下半年的叔叔买了一个哆啦A保,原位癌在医院现在,你能索赔吗?
怎么儿子去留学前三个月没有医疗保障，怎么办？	如何儿子幼儿园三个月是否没有医保,怎么办?
想问下，如果重疾理赔后身故，哆啦A保还有身故赔偿金吗	想问下,如果严重的疾病称死后,哆啦A保和死亡赔偿
为什么我投保的弘康哆啦A保没有发票呢？	为什么我覆盖香港康哆啦A保没有发票?
康惠保是选择终身的好还是到70岁保障期好，为什么？	康汇宝是选择一个好的或70岁高龄的保修期是好的,为什么?
本周公司团建，去户外玩，huts保险有什么比较好	本周公司团队建设,去外面玩,小屋保险更好
和老婆去德*旅游，办签证要买保险，什么比较好？	和妻子去德*,购买保险,签证是什么更好?
什么是小额快赔，在huts保险中看到的	什么是小快速补偿,在小屋看到保险吗
安*长*树对各个地区可以投保的最高保额有限制吗？	安* *树每个区域的极限可以投保?
投了安*长*树几个月后，发现得了脑膜炎，这个可以报销吗	把安* *树几个月后,发现,脑膜炎,这可以报销
哆啦A保享有多次赔付，但患重疾理赔后，轻症和身故责任还有吗？	多拉保险多次支付,但在患有严重的疾病,轻微和死亡责任?
姐姐投了安*长*树，为啥只有电子保单？	安姐姐* *树,为什么只有电子保单?
打算周末和老公带儿子来场亲子游，有什么HUTS保险比较可靠？	将和丈夫儿子这个周末亲子游,小屋的保险是可靠的吗?
我女朋友是个导游，比较担心安全，请问什么领队责任险可以考虑？	我的女朋友是一个导游,更担心安全,您能告诉我行李的危险责任的领导人考虑吗?
女儿去欧*留学，刚开始几个月医保卡没有下来，什么保险可以补充？	女儿在*起初几个月学习医疗保险卡不下来,能补充什么保险?
去韩*游玩，有什么HUTS保险比较可靠	访问朝鲜。
想要去欧*游玩，不晓得什么样的保险比较合适	想去,不知道保险是更合适的
请问下，安*长青树有没有等待期，长不长？	对不起,安*常绿等待期,很长时间吗?
出国玩比较担心护照等随身物品安全，什么保险可以投？	出国玩更担心护照和其他财产安全,保险可以投吗?
请问下康惠保的缴费年限有哪些？	你能告诉我康汇宝缴费年限?
